Feature,Occurrences
Ido,2
KPart,2
constructor,2
Driver,2
Properties,2
Written in Java,2
German,2
Free firmware,2
Easy Trace,2
Properties of prototype,2
Resizing,2
TDP (Watts)GPU only,2
Free software,2
State,3
Alternative solution,3
Clock rate,3
Android,3
Function,3
Vendor,3
Attribute,3
Prince XML,3
Irish,3
Danish,3
OLAP Server,3
Product,3
Scottish Gaelic,3
Norwegian,3
Integrated firewall,3
CPU,3
PostgreSQL,3
Languages,3
Architecture,3
Element,3
Spanish,3
Novial,4
Firefox Sync,4
Format,4
OS,4
Opera Link,4
Features,4
BookmarkSync,4
DOM2,4
RAM,4
Syntax,4
Language(s),4
Language,4
Xmarks,4
Programming language,4
MySQL,5
Yes,5
Database,5
First public release,5
API compliance (version),5
Audio player,5
Debugger,5
Model Number,5
Esperanto,6
Other,6
Latest stable version,6
GUI builder,6
Software,6
Core config,7
Software license,7
Latest stable release,7
DOM1,7
Platform,7
Creator,8
Client,8
Developer,9
Other platforms,9
English,11
Tasman,11
Mac OS X,12
Windows,14
IDE,14
Notes,14
KHTML,14
Linux,15
Definition,16
Config core,16
Fab (nm),17
DOM3,18
Core clock (MHz),21
Memory clock (MHz),21
Bus interface,21
Memory,23
Code name,23
Fillrate,23
Name,23
Memory (MB),23
Launch,24
Model,26
Products,27
License,29
Gecko,29
WebKit,29
Presto,29
Trident,33
